datetime,open,high,low,close,volume
2025-02-10 00:00:00,1.23692,1.23915,1.23629,1.23629,11
2025-02-10 00:05:00,1.23629,1.23688,1.23629,1.23637,21
2025-02-10 00:10:00,1.23662,1.23714,1.23655,1.23692,55
2025-02-10 00:15:00,1.23692,1.23732,1.23692,1.23732,26
2025-02-10 00:20:00,1.23737,1.23824,1.23726,1.23732,69
2025-02-10 00:25:00,1.23734,1.23755,1.23724,1.23728,42
2025-02-10 00:30:00,1.23727,1.23765,1.23726,1.23737,41
2025-02-10 00:35:00,1.23735,1.23837,1.23734,1.23809,35
2025-02-10 00:40:00,1.23827,1.23838,1.23752,1.23797,104
2025-02-10 00:45:00,1.23785,1.23865,1.2376,1.23846,61
2025-02-10 00:50:00,1.23845,1.23845,1.23771,1.23798,31
2025-02-10 00:55:00,1.23797,1.23816,1.23787,1.23787,31
2025-02-10 01:00:00,1.2377,1.23913,1.23741,1.23852,574
2025-02-10 01:05:00,1.23855,1.23876,1.23822,1.23837,53
2025-02-10 01:10:00,1.23837,1.23901,1.23837,1.23886,144
2025-02-10 01:15:00,1.23884,1.23911,1.23883,1.23906,118
2025-02-10 01:20:00,1.23906,1.23931,1.23897,1.23923,122
2025-02-10 01:25:00,1.23921,1.23924,1.23901,1.23912,151
2025-02-10 01:30:00,1.23912,1.23927,1.23901,1.23916,199
2025-02-10 01:35:00,1.23918,1.23943,1.23917,1.23926,174
2025-02-10 01:40:00,1.23926,1.23944,1.23915,1.23919,145
2025-02-10 01:45:00,1.23918,1.23942,1.23906,1.23906,180
2025-02-10 01:50:00,1.23907,1.23924,1.23894,1.23924,124
2025-02-10 01:55:00,1.23924,1.23935,1.23891,1.23891,114
2025-02-10 02:00:00,1.23891,1.2396,1.23891,1.23955,203
2025-02-10 02:05:00,1.23957,1.23973,1.23939,1.2394,157
2025-02-10 02:10:00,1.23941,1.23941,1.23905,1.23913,127
2025-02-10 02:15:00,1.2391,1.23977,1.2391,1.23972,173
2025-02-10 02:20:00,1.23972,1.23993,1.23957,1.23983,178
2025-02-10 02:25:00,1.23982,1.23991,1.23971,1.23977,153
2025-02-10 02:30:00,1.23979,1.24004,1.23973,1.24002,175
2025-02-10 02:35:00,1.24003,1.24004,1.23959,1.23975,151
2025-02-10 02:40:00,1.23971,1.23975,1.23958,1.23961,138
2025-02-10 02:45:00,1.23961,1.23962,1.23915,1.23936,171
2025-02-10 02:50:00,1.23934,1.23966,1.23929,1.23931,237
2025-02-10 02:55:00,1.23931,1.23941,1.23892,1.23914,193
2025-02-10 03:00:00,1.23915,1.23928,1.239,1.23914,240
2025-02-10 03:05:00,1.23916,1.23924,1.23897,1.23913,240
2025-02-10 03:10:00,1.23913,1.23927,1.23907,1.23913,194
2025-02-10 03:15:00,1.23915,1.23951,1.23909,1.23938,219
2025-02-10 03:20:00,1.23939,1.23943,1.23885,1.23896,217
2025-02-10 03:25:00,1.23897,1.23908,1.23873,1.23881,210
2025-02-10 03:30:00,1.23885,1.23896,1.23852,1.23886,222
2025-02-10 03:35:00,1.23888,1.23897,1.23852,1.23854,202
2025-02-10 03:40:00,1.23852,1.23866,1.2382,1.23826,246
2025-02-10 03:45:00,1.23822,1.2383,1.23797,1.23798,192
2025-02-10 03:50:00,1.238,1.23836,1.23795,1.23823,201
2025-02-10 03:55:00,1.23822,1.23833,1.2381,1.23828,194
2025-02-10 04:00:00,1.23828,1.23858,1.2382,1.23852,182
2025-02-10 04:05:00,1.23853,1.23892,1.2385,1.23881,216
2025-02-10 04:10:00,1.23881,1.23882,1.23851,1.23867,166
2025-02-10 04:15:00,1.23868,1.23872,1.23838,1.23851,179
2025-02-10 04:20:00,1.23852,1.23875,1.23852,1.23858,136
2025-02-10 04:25:00,1.23858,1.23858,1.23824,1.23839,181
2025-02-10 04:30:00,1.23838,1.2385,1.23812,1.23824,167
2025-02-10 04:35:00,1.23824,1.23842,1.23821,1.23832,162
2025-02-10 04:40:00,1.23831,1.23862,1.2383,1.23854,167
2025-02-10 04:45:00,1.23854,1.23859,1.23832,1.23834,112
